N_wppm,region,cooling,classC_index,classA_index,waste_class,C14_Ci_m3,Nb94_Ci_m3,Ni63_Ci_m3,Mn53_Ci_m3,Zr93_Ci_m3,top_classC
10,BLK_front,1000yr,0.11987587728974797,1.3924261143894217,Class C,0.1713642343011287,0.023129611762864096,0.003104545387727704,7.319831063099276e-10,0.0001947589693785804,Nb94:0.116;C14:0.002;Tc99:0.002;Ni59:0.000
10,BLK_mid,shutdown,0.14993160497061292,2.184778617906997,Class C,0.1429024936436457,0.0292663321632651,1.8436819206288113,1.3848506898990927e-10,9.851170164834158e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,1d,0.1499343083002598,2.184795731871839,Class C,0.14290244606622576,0.02926649944955726,1.8436473477461965,1.3848507196298918e-10,9.851170721748366e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,1wk,0.14993944260419412,2.1847875627162434,Class C,0.1429021606020379,0.029266483033785838,1.8434399236168821,1.3848507153681394e-10,9.851170786418448e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,1mo,0.14994048006907812,2.1845698695611886,Class C,0.14290106632793417,0.029266420106747317,1.8426450139540864,1.384850699031426e-10,9.851170505391493e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,1yr,0.1499340441369037,2.1811923616241398,Class C,0.14288511704463303,0.02926550289212058,1.831097177071303,1.3848504609060608e-10,9.851166409008173e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,10yr,0.1498714399642905,2.1491632676644867,Class C,0.14272882270555812,0.02925651078680693,1.7216305406709527,1.3848481260011083e-10,9.851126242547829e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,100yr,0.14928949062009753,1.9159970164757274,Class C,0.14117525143429532,0.029166741553746618,0.9294490950771056,1.3848247771680936e-10,9.850724586951596e-05,Nb94:0.146;C14:0.002;Tc99:0.001;Ni63:0.000
10,BLK_mid,1000yr,0.1445555268756506,1.5884683345597692,Class C,0.12653988440362443,0.02828406001582634,0.001954709017166684,1.384591310488487e-10,9.846708931588018e-05,Nb94:0.141;C14:0.002;Tc99:0.001
10,BLK_back,shutdown,0.08086289540242882,1.1146124882644164,Class C,0.06657579834432577,0.015833282505656483,0.8125755476153036,9.480799301240265e-12,3.948593728139109e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,1d,0.08086425318767441,1.1146217039605646,Class C,0.06657577617882932,0.015833373567438417,0.8125603101072747,9.480799430121516e-12,3.9485938990111325e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,1wk,0.08086673113945357,1.1146203122339753,Class C,0.06657564318600517,0.015833364686395374,0.8124688909890545,9.480799400945214e-12,3.9485939122405376e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,1mo,0.08086721945168901,1.1145248994590558,Class C,0.06657513338264053,0.015833330642443164,0.812118546307954,9.480799289102757e-12,3.9485937995972526e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,1yr,0.08086391805100379,1.113034851356299,Class C,0.06656770288761048,0.015832834423144652,0.8070290079371725,9.480797658877356e-12,3.948592157665081e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,10yr,0.08083176697024308,1.0989002100317735,Class C,0.06649488806027404,0.01582796963352968,0.7587832064130329,9.48078167393023e-12,3.948576057950209e-05,Nb94:0.079;C14:0.001;Tc99:0.001;Ni63:0.000
10,BLK_back,100yr,0.08052976714452706,0.9957526302174556,Class A,0.06577110609515982,0.015779403873065017,0.4096409467070955,9.480621825941125e-12,3.948415064411826e-05,Nb94:0.079;C14:0.001;Tc99:0.001
10,BLK_back,1000yr,0.07799600265784222,0.8465267759606482,Class A,0.05895274191350397,0.015301867208488484,0.0008615090988524001,9.479023494271439e-12,3.946805490010363e-05,Nb94:0.077;C14:0.001;Tc99:0.001
10,DIV,shutdown,0.07797146428350464,2.2605306805981784,Class C,0.21384423808331654,0.014381679937023242,4.33960054096742,2.0014194405486336e-09,0.00033354119331417394,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,1d,0.07797507729035498,2.2605431644491705,Class C,0.2138441668868183,0.014381750373783569,4.339519164857772,2.0014196082145137e-09,0.0003335412273142344,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,1wk,0.07798413903944973,2.26049191326441,Class C,0.2138437397083261,0.01438174230696551,4.339030936463381,2.0014196020553265e-09,0.00033354123317514567,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,1mo,0.07798628272720115,2.2599696743636923,Class C,0.21384210219867872,0.014381711384204765,4.337159903090187,2.001419578445115e-09,0.0003335412236603292,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,1yr,0.07797984522345079,2.252008317272126,Class C,0.2138182351390595,0.014381260658902826,4.309978967686921,2.001419234300603e-09,0.00033354108496486096,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,10yr,0.07791791815256548,2.176630513149365,Class C,0.21358435087991187,0.01437684187919264,4.052319840439756,2.0014158598397396e-09,0.00033353972500765324,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.001
10,DIV,100yr,0.07740095250958523,1.6342007884312209,Class C,0.2112595330524513,0.014332728687475088,2.18770805912393,2.0013821155440123e-09,0.0003335261257405423,Nb94:0.072;C14:0.003;Tc99:0.003;Ni63:0.000
10,DIV,1000yr,0.07463715600043415,0.9607080355485582,Class A,0.18935866322194989,0.013898973172580088,0.004600932630681626,2.001044703876597e-09,0.0003333901635619329,Nb94:0.069;Tc99:0.003;C14:0.002;Ni59:0.000
50,FW,shutdown,0.07186192141696596,2.6987643371156875,Class C,0.8666039179385636,0.01165635351381965,3.517246819271751,1.0238683268398678e-09,0.0002703351818227153,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
50,FW,1d,0.07186484687426321,2.6987741667547325,Class C,0.8666036294147079,0.011656410602823327,3.517180863923991,1.0238684630399405e-09,0.0002703352093797691,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
50,FW,1wk,0.07187217411170603,2.698730896521497,Class C,0.8666018982735818,0.011656404064666198,3.516785154744989,1.0238684598890776e-09,0.00027033521413003843,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
50,FW,1mo,0.07187384521082607,2.6983009858136278,Class C,0.86659526226464,0.011656379001764479,3.5152686819455994,1.0238684478107751e-09,0.0002703352064182784,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.001
